"Omega1","Omega2","Epsilon1","Epsilon2","dens_covar","common_name","status","max_grad","rrmse","aic"
1,0,1,1,"FALSE","Pacific cod",NA,NA,NA,NA
0,1,1,1,"FALSE","Pacific cod",NA,NA,NA,NA
1,1,1,1,"FALSE","Pacific cod",NA,NA,NA,NA
0,0,0,0,"TRUE","Bering flounder","confirm_gradient",3.78713303520608e-09,2.289,2462.87092555881
1,0,0,0,"TRUE","Bering flounder","confirm_gradient",3.13032155752069e-10,1.522,2297.23317405932
0,1,0,0,"TRUE","Bering flounder","confirm_gradient",1.91308757724329e-09,1.865,2365.19595045016
1,1,0,0,"TRUE","Bering flounder","confirm_gradient",2.60243862015841e-08,1.565,2291.7447415293
0,0,1,0,"TRUE","Bering flounder","confirm_gradient",3.9963147457911e-08,1.497,2362.68508871153
1,0,1,0,"TRUE","Bering flounder","confirm_gradient",2.01070671224102e-08,1.443,2297.98819877573
0,1,1,0,"TRUE","Bering flounder","confirm_gradient",2.37106334566306e-10,1.47,2334.47702967007
1,1,1,0,"TRUE","Bering flounder","confirm_gradient",2.06569801264322e-08,1.515,2293.61545128045
0,0,0,1,"TRUE","Bering flounder","confirm_gradient",5.37794377919454e-08,1.804,2397.51695750493
1,0,0,1,"TRUE","Bering flounder","confirm_gradient",1.58645319103812e-11,1.28,2294.59935180518
0,1,0,1,"TRUE","Bering flounder","confirm_gradient",1.32553301668281e-10,1.865,2367.19595045008
1,1,0,1,"TRUE","Bering flounder","confirm_gradient",3.62754271066024e-12,1.393,2292.64814747246
0,0,1,1,"TRUE","Bering flounder","confirm_gradient",8.52615755775332e-11,1.365,2352.40029436549
1,0,1,1,"TRUE","Bering flounder","confirm_gradient",7.82476596850046e-08,1.274,2296.5474428453
0,1,1,1,"TRUE","Bering flounder","confirm_gradient",1.70174985214544e-11,1.434,2336.20168595987
1,1,1,1,"TRUE","Bering flounder","confirm_gradient",9.45996678103356e-07,1.392,2294.64746905326
0,0,0,0,"FALSE","Bering flounder","confirm_gradient",3.78713303520608e-09,2.289,2462.87092555881
1,0,0,0,"FALSE","Bering flounder","confirm_gradient",4.64150762269355e-09,1.522,2297.2331740627
0,1,0,0,"FALSE","Bering flounder","confirm_gradient",9.51458136722039e-08,1.865,2365.19595059963
1,1,0,0,"FALSE","Bering flounder","confirm_gradient",1.5359482574695e-09,1.565,2291.74474143956
0,0,1,0,"FALSE","Bering flounder","confirm_gradient",2.5347368648454e-08,1.497,2362.6850887666
1,0,1,0,"FALSE","Bering flounder","confirm_gradient",5.97069060859212e-11,1.443,2297.98819877522
0,1,1,0,"FALSE","Bering flounder","confirm_gradient",3.78497233555208e-12,1.47,2334.47702967012
1,1,1,0,"FALSE","Bering flounder","confirm_gradient",2.5977917506026e-07,1.515,2293.61545196884
0,0,0,1,"FALSE","Bering flounder","confirm_gradient",6.46767950307492e-09,1.804,2397.51695750991
1,0,0,1,"FALSE","Bering flounder","confirm_gradient",1.77699177594803e-08,1.28,2294.59935186906
0,1,0,1,"FALSE","Bering flounder","confirm_gradient",3.07234070489244e-11,1.865,2367.19595045006
1,1,0,1,"FALSE","Bering flounder","confirm_gradient",9.55236231225953e-08,1.393,2292.64814790258
0,0,1,1,"FALSE","Bering flounder","confirm_gradient",2.27677450226338e-08,1.365,2352.40029443254
1,0,1,1,"FALSE","Bering flounder",NA,NA,NA,NA
0,1,1,1,"FALSE","Bering flounder","confirm_gradient",3.87349374797452e-08,1.434,2336.20168601021
1,1,1,1,"FALSE","Bering flounder","confirm_gradient",5.98275119334524e-07,1.392,2294.64746923746
0,0,0,0,"TRUE","yellowfin sole",NA,NA,NA,NA
1,0,0,0,"TRUE","yellowfin sole",NA,NA,NA,NA
0,1,0,0,"TRUE","yellowfin sole",NA,NA,NA,NA
1,1,0,0,"TRUE","yellowfin sole",NA,NA,NA,NA
0,0,1,0,"TRUE","yellowfin sole",NA,NA,NA,NA
1,0,1,0,"TRUE","yellowfin sole",NA,NA,NA,NA
0,1,1,0,"TRUE","yellowfin sole",NA,NA,NA,NA
1,1,1,0,"TRUE","yellowfin sole",NA,NA,NA,NA
0,0,0,1,"TRUE","yellowfin sole",NA,NA,NA,NA
1,0,0,1,"TRUE","yellowfin sole",NA,NA,NA,NA
0,1,0,1,"TRUE","yellowfin sole",NA,NA,NA,NA
1,1,0,1,"TRUE","yellowfin sole",NA,NA,NA,NA
0,0,1,1,"TRUE","yellowfin sole",NA,NA,NA,NA
1,0,1,1,"TRUE","yellowfin sole",NA,NA,NA,NA
0,1,1,1,"TRUE","yellowfin sole",NA,NA,NA,NA
1,1,1,1,"TRUE","yellowfin sole",NA,NA,NA,NA
0,0,0,0,"FALSE","yellowfin sole",NA,NA,NA,NA
1,0,0,0,"FALSE","yellowfin sole",NA,NA,NA,NA
0,1,0,0,"FALSE","yellowfin sole",NA,NA,NA,NA
1,1,0,0,"FALSE","yellowfin sole",NA,NA,NA,NA
0,0,1,0,"FALSE","yellowfin sole",NA,NA,NA,NA
1,0,1,0,"FALSE","yellowfin sole",NA,NA,NA,NA
0,1,1,0,"FALSE","yellowfin sole",NA,NA,NA,NA
1,1,1,0,"FALSE","yellowfin sole",NA,NA,NA,NA
0,0,0,1,"FALSE","yellowfin sole",NA,NA,NA,NA
1,0,0,1,"FALSE","yellowfin sole",NA,NA,NA,NA
0,1,0,1,"FALSE","yellowfin sole",NA,NA,NA,NA
1,1,0,1,"FALSE","yellowfin sole",NA,NA,NA,NA
0,0,1,1,"FALSE","yellowfin sole",NA,NA,NA,NA
1,0,1,1,"FALSE","yellowfin sole",NA,NA,NA,NA
0,1,1,1,"FALSE","yellowfin sole",NA,NA,NA,NA
1,1,1,1,"FALSE","yellowfin sole",NA,NA,NA,NA
0,0,0,0,"TRUE","Alaska plaice",NA,NA,NA,NA
1,0,0,0,"TRUE","Alaska plaice",NA,NA,NA,NA
0,1,0,0,"TRUE","Alaska plaice",NA,NA,NA,NA
1,1,0,0,"TRUE","Alaska plaice",NA,NA,NA,NA
0,0,1,0,"TRUE","Alaska plaice",NA,NA,NA,NA
1,0,1,0,"TRUE","Alaska plaice",NA,NA,NA,NA
0,1,1,0,"TRUE","Alaska plaice",NA,NA,NA,NA
1,1,1,0,"TRUE","Alaska plaice",NA,NA,NA,NA
0,0,0,1,"TRUE","Alaska plaice",NA,NA,NA,NA
1,0,0,1,"TRUE","Alaska plaice",NA,NA,NA,NA
0,1,0,1,"TRUE","Alaska plaice",NA,NA,NA,NA
1,1,0,1,"TRUE","Alaska plaice",NA,NA,NA,NA
0,0,1,1,"TRUE","Alaska plaice",NA,NA,NA,NA
1,0,1,1,"TRUE","Alaska plaice",NA,NA,NA,NA
0,1,1,1,"TRUE","Alaska plaice",NA,NA,NA,NA
1,1,1,1,"TRUE","Alaska plaice",NA,NA,NA,NA
0,0,0,0,"FALSE","Alaska plaice",NA,NA,NA,NA
