TaxaID,TSN,Kingdom,Subkingdom,Infrakingdom,Superphylum,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order_,Suborder,Infraorder,Superfamily,Family,Genus,Subgenus,Species,Subspecies,CommonName,Synonyms,TaxaLink,TaxaComments
845,49845,Animalia,Radiata,,,Cnidaria,Medusozoa,Hydrozoa,Hydroidolina,,,Leptothecatae,,,,Sertulariidae,,,,,,,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=49845,
846,51989,Animalia,Radiata,,,Cnidaria,Anthozoa,Anthozoa,Hexacorallia,,,Ceriantharia,,,,Cerianthidae,Cerianthus,,Cerianthus lloydii,,,,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=51989,
847,52004,Animalia,Radiata,,,Cnidaria,Anthozoa,Anthozoa,Octocorallia,,,,,,,,,,,,,Alcyonaria,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=52004,
848,52041,Animalia,Radiata,,,Cnidaria,Anthozoa,Anthozoa,Octocorallia,,,Alcyonacea,Alcyoniina,,,Alcyoniidae,Gersemia,,Gersemia fruticosa,,,,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=52041,
849,66190,Animalia,Bilateria,Protostomia,Lophozoa,Annelida,Polychaeta,Errantia,Aciculata,,,Eunicida,,,,Onuphidae,Nothria,,Nothria conchylega,,,Onuphis conchylega,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=66190,
850,67105,Animalia,Bilateria,Protostomia,Lophozoa,Annelida,Polychaeta,Sedentaria,Palpata,,,Canalipalpata,,,,Chaetopteridae,Spiochaetopterus,,Spiochaetopterus sp.,,,,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=67105,
851,67376,Animalia,Bilateria,Protostomia,Lophozoa,Annelida,Polychaeta,Sedentaria,Palpata,,,Scolecida,,,,Opheliidae,Travisia,,Travisia japonica,,,,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=67376,
852,68013,Animalia,Bilateria,Protostomia,Lophozoa,Annelida,Polychaeta,Sedentaria,Palpata,,,Canalipalpata,,,,Terebellidae,Scionella,,Scionella estevanica,,,,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=68013,
853,73918,Animalia,Bilateria,Protostomia,Lophozoa,Mollusca,,Gastropoda,Prosobranchia,,,Neogastropoda,,,,Buccinidae,Colus,,Colus pubescens,,hairy whelk,,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=73918,
855,82418,Animalia,Bilateria,Protostomia,Lophozoa,Mollusca,,Cephalopoda,Coleoidea,,Decabrachia,Teuthida,Oegopsina,,,Gonatidae,Gonatus,,Gonatus sp.,,,Lestoteuthis; Chiloteuthis; Gonatus (Eogonatus),http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=82418,
856,96815,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,,Eucarida,Decapoda,Pleocyemata,Caridea,Alpheoidea,Hippolytidae,Eualus,,Eualus macilentus,,Greenland shrimp,Hippolyte macilenta; Spirontocaris macilenta; Spirontocarella macilenta,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=96815,
857,157165,Animalia,Bilateria,Deuterostomia,,Echinodermata,Asterozoa,Asteroidea,,,Spinulosacea,Spinulosida,,,,Echinasteridae,Henricia,,Henricia sanguinolenta,,blood star,Cribella sanguinolenta; Henricia sanguinolenta sanguinolenta; Asterias sanguinolenta; Cribrella sanguinolenta; Cribrella pectinata; Cribrella laevior; Echinaster sanguinolentus; Echinaster sarsi; Echinaster oculatus; Henricia curta; Henricia rudis; Henricia miliaris; Linckia pertusa; Henricia sanguinolenta miliaris,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=157165,
858,157333,Animalia,Bilateria,Deuterostomia,,Echinodermata,Asterozoa,Ophiuroidea,,,,Phrynophiurida,Ophiomyxina,,,Ophiomyxidae,Ophioscolex,,Ophioscolex glacialis,,,,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=157333,
859,157425,Animalia,Bilateria,Deuterostomia,,Echinodermata,Asterozoa,Ophiuroidea,,,,Ophiurida,Chilophiurina,,,Ophiuridae,Ophiura,,Ophiura robusta,,,,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=157425,
860,157447,Animalia,Bilateria,Deuterostomia,,Echinodermata,Asterozoa,Ophiuroidea,,,,Ophiurida,Chilophiurina,,,Ophiuridae,Ophiopleura,,Ophiopleura borealis,,,,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=157447,
861,157617,Animalia,Bilateria,Deuterostomia,,Echinodermata,Asterozoa,Ophiuroidea,,,,Ophiurida,Gnathophiurina,,,Ophiactidae,Ophiopholis,,Ophiopholis aculeata,,,,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=157617,
862,158392,Animalia,Bilateria,Deuterostomia,,Echinodermata,Echinozoa,Holothuroidea,Aspidochirotacea,,,Elasipodida,,,,Laetmogonidae,Pannychia,,Pannychia moseleyi,,,,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=158392,
863,159487,Animalia,Bilateria,Deuterostomia,,Chordata,Urochordata,Ascidiacea,,,,Pleurogona,Stolidobranchia,,,Pyuridae,Boltenia,,Boltenia echinata,,,Ascidia echinata; Cynthia echinata; Halocynthia echinata; Microcosmus echinatus; Pyura echinata,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=159487,
864,182724,Animalia,Bilateria,Protostomia,Lophozoa,Annelida,Polychaeta,Errantia,Aciculata,,,Eunicida,,,,Lumbrineridae,Scoletoma,,Scoletoma sp.,,,,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=182724,
866,612023,Animalia,Radiata,,,Cnidaria,Anthozoa,Anthozoa,Hexacorallia,,,Actiniaria,Nyantheae,Thenaria,,Actinostolidae,Anthosactis,,Anthosactis janmayeni,,,,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=612023,
867,989921,Animalia,Bilateria,Deuterostomia,,Echinodermata,Asterozoa,Asteroidea,,,Forcipulatacea,Forcipulatida,,,,Asteriidae,Icasterias,,Icasterias panopla,,,Asterias panopla,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=989921,
868,167478,Animalia,Bilateria,Deuterostomia,,Chordata,Vertebrata,Actinopterygii,Neopterygii,Teleostei,Acanthopterygii,Scorpaeniformes,Cottoidei,,Cottoidea,Agonidae,Leptagonus,,Leptagonus decagonus,,Atlantic poacher,Agonus decagonus,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=167478,
869,171603,Animalia,Bilateria,Deuterostomia,,Chordata,Vertebrata,Actinopterygii,Neopterygii,Teleostei,Acanthopterygii,Perciformes,Zoarcoidei,,,Stichaeidae,Leptoclinus,,Leptoclinus maculatus,,daubed shanny,Lumpenus maculatus; Lumpenus maculatus maculatus; Lumpenus maculatus diaphanocarus,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=171603,
870,656464,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,,Peracarida,Amphipoda,Gammaridea,,,Calliopiidae,,,,,,Calliopidae,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=656464,
875,718924,Animalia,Radiata,,,Cnidaria,Medusozoa,Hydrozoa,Hydroidolina,,,,,,,,,,,,,Hydroida,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=718924,
881,97160,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,,Eucarida,Decapoda,Pleocyemata,Caridea,Crangonoidea,Crangonidae,Argis,,Argis sp.,,,,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=97160,
886,-834154,Animalia,Bilateria,Protostomia,Lophozoa,Annelida,Polychaeta,Sedentaria,Palpata,,,Canalipalpata,,,,Cirratulidae,Chaetozone,,Chaetozone pigmentata,,,,http://www.marinespecies.org/aphia.php?p=taxdetails&id=834154,Described in WoRMS
887,-817287,Animalia,Bilateria,Protostomia,Lophozoa,Annelida,Polychaeta,Sedentaria,Palpata,,,Canalipalpata,,,,Sternaspidae,Sternaspis,,Sternaspis buzhinskajae,,,Sternaspis buzkinskajae,http://www.marinespecies.org/aphia.php?p=taxdetails&id=817287,Described in WoRMS
893,-130871,Animalia,Bilateria,Protostomia,Lophozoa,Annelida,Polychaeta,Sedentaria,Palpata,,,Canalipalpata,,,,Sabellidae,Bispira,,Bispira crassicornis,,,Sabella crassicornis; Sabella nordenskioldi; Sabella picta; Sabella spetsbergensis,http://www.marinespecies.org/aphia.php?p=taxdetails&id=130871,Described in WoRMS
898,48394,Animalia,Radiata,,,Porifera,,Demospongiae,,,,Halichondrida,,,,Halichondriidae,Halichondria,,Halichondria sp.,,,,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=48394,
1012,67387,Animalia,Bilateria,Protostomia,Lophozoa,Annelida,Polychaeta,Sedentaria,Palpata,,,Scolecida,,,,Opheliidae,Ophelina,,Ophelina cylindricaudata,,,Ammotrypane cylindricaudatus,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=67387,
1013,67763,Animalia,Bilateria,Protostomia,Lophozoa,Annelida,Polychaeta,Sedentaria,Palpata,,,Canalipalpata,,,,Ampharetidae,Melinna,,Melinna cristata,,,Sabellides cristata,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=67763,
1014,67765,Animalia,Bilateria,Protostomia,Lophozoa,Annelida,Polychaeta,Sedentaria,Palpata,,,Canalipalpata,,,,Ampharetidae,Melinna,,Melinna elisabethae,,,,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=67765,
1015,67791,Animalia,Bilateria,Protostomia,Lophozoa,Annelida,Polychaeta,Sedentaria,Palpata,,,Canalipalpata,,,,Ampharetidae,Glyphanostomum,,Glyphanostomum pallescens,,,Samytha pallescens,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=67791,
1016,67836,Animalia,Bilateria,Protostomia,Lophozoa,Annelida,Polychaeta,Sedentaria,Palpata,,,Canalipalpata,,,,Ampharetidae,Sosanopsis,,Sosanopsis wireni,,,,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=67836,
1017,68075,Animalia,Bilateria,Protostomia,Lophozoa,Annelida,Polychaeta,Sedentaria,Palpata,,,Canalipalpata,,,,Trichobranchidae,Trichobranchus,,Trichobranchus roseus,,,,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=68075,
1018,72712,Animalia,Bilateria,Protostomia,Lophozoa,Mollusca,,Gastropoda,,,,Neotaenioglossa,,,,Velutinidae,Velutina,,Velutina velutina,,smooth lamellaria,,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=72712,
1019,74680,Animalia,Bilateria,Protostomia,Lophozoa,Mollusca,,Gastropoda,Prosobranchia,,,Neogastropoda,,,,Conidae,Oenopota,,Oenopota arctica,,,,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=74680,
1020,76278,Animalia,Bilateria,Protostomia,Lophozoa,Mollusca,,Gastropoda,Opisthobranchia,,,Cephalaspidea,,,,Retusidae,Retusa,,Retusa sp.,,,,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=76278,
1021,79231,Animalia,Bilateria,Protostomia,Lophozoa,Mollusca,,Bivalvia,Protobranchia,,,Nuculoida,,,,Yoldiidae,Portlandia,,Portlandia sp.,,,,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=79231,
