Matrix,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,
Sample Size,,6.95,,7.71,,21.38,,12.57,,23.99,,18.35,,16.70,,18.36,,20.53,,7.08,,7.54,,10.14,,10.01,,9.87,,7.72,,10.46,,10.27,,15.67,,16.25,,15.21,
Size Unit-Basis,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,
Units,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4-Chrysenes,,12.258,,14.659,,0.130,U,11.359,,0.115,U,4.986,,6.093,,0.151,U,8.395,,12.054,T,13.529,T,12.274,T,12.921,T,12.671,T,13.079,T,10.537,T,12.611,T,10.956,T,12.184,T,11.909,T
Benzo(b)fluoranthene,,24.832,,24.195,,1.788,,20.555,,1.922,,7.415,,8.622,,6.345,,12.001,,21.942,T,22.328,T,22.452,T,21.656,T,22.346,T,21.338,T,22.861,T,21.718,T,22.108,T,21.118,T,19.579,T
Benzo(k)fluoranthene,,5.213,,5.188,,0.307,J,4.042,,0.494,J,1.552,,2.065,,1.293,,3.693,,4.319,T,3.959,T,4.604,T,4.481,T,5.420,T,4.240,T,4.546,T,4.482,T,4.944,T,4.052,T,3.610,T
Benzo(e)pyrene,,28.048,,26.303,,1.997,,22.899,,2.567,,8.696,,10.232,,7.407,,13.677,,22.205,T,21.960,T,22.361,T,22.270,T,22.324,T,21.263,T,22.445,T,21.453,T,20.784,T,20.134,T,18.117,T
Benzo(a)pyrene,,5.080,,5.444,,0.435,J,5.231,,0.481,,2.018,,2.132,,1.554,,4.076,,5.312,T,5.731,T,5.132,T,5.657,T,5.244,T,4.607,T,5.504,T,5.272,T,5.168,T,5.108,T,5.110,T
Perylene,,50.603,,80.103,,11.754,,108.969,,5.417,,48.960,,59.309,,44.303,,67.376,,93.143,T,91.498,T,92.776,T,90.497,T,93.492,T,89.434,T,93.464,T,88.516,T,87.719,T,84.498,T,75.122,T
"Indeno(1,2,3-cd)pyrene",,6.591,,6.642,,0.533,,5.526,,0.766,,1.972,,2.772,,1.826,,4.513,,5.249,T,5.397,T,5.926,T,5.853,T,6.121,T,5.213,T,4.998,T,5.163,T,5.430,T,5.762,T,4.477,T
"Dibenz(a,h)anthracene",,3.878,,3.805,,0.264,J,3.236,,0.395,J,1.171,,1.538,,1.085,,2.309,,3.213,T,3.336,T,3.334,T,3.470,T,3.335,T,3.271,T,3.207,T,3.090,T,3.068,T,3.109,T,2.613,T
"Benzo(g,h,i)perylene",,24.855,,24.139,,1.747,,20.340,,1.763,,7.993,,9.405,,6.289,,14.834,,18.779,T,19.084,T,19.774,T,19.146,T,19.980,T,17.666,T,17.855,T,17.374,T,16.278,T,17.566,T,13.644,T
Total PAH,,1382.678,,1472.906,,122.393,,1322.950,,95.989,,513.752,,629.268,,427.401,,615.574,,1431.278,T,1441.393,T,1487.285,T,1419.361,T,1453.040,T,1363.430,T,1373.886,T,1353.156,T,1270.656,T,1259.120,T,1147.587,T
