,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Client ID,,PAL-501,,PAL-507,,PAL-512,,PAL-516,,PAL-526,,PAL-527,,PAL-531,,PAL-533,,PAL-534A,,PAL-535,,PAL-539,,PAL-301,,PAL-303,,PAL-316,,PAL-318,,PAL-320,,PAL-321,,PAL-341,,PAL-240,,PAL-241,
"30,31-Bishomohopane-22R",,5.482,U,6.213,U,5.949,U,8.472,U,5.706,U,7.358,U,3.728,U,5.13,U,3.655,U,5.592,U,3.452,U,14.338,U,3.679,U,1.426,U,1.43,U,1.621,U,1.786,U,79.881,U,2.99,U,4.82,U
"30,31,32-Trishomohopane-22S",,5.482,U,6.213,U,5.949,U,8.472,U,5.706,U,7.358,U,3.728,U,5.13,U,3.655,U,5.592,U,3.452,U,14.338,U,1.174,J,1.426,U,1.268,J,1.111,J,1.786,U,79.881,U,2.99,U,4.82,U
"30,31,32-Trishomohopane-22R",,5.482,U,6.213,U,5.949,U,8.472,U,5.706,U,7.358,U,3.728,U,5.13,U,3.655,U,5.592,U,3.452,U,14.338,U,3.679,U,1.426,U,1.43,U,1.621,U,1.786,U,79.881,U,2.99,U,4.82,U
"30,31,32,33-Tetrakishomohopane-22S",,5.482,U,6.213,U,5.949,U,8.472,U,5.706,U,7.358,U,3.728,U,5.13,U,3.655,U,5.592,U,3.452,U,14.338,U,3.679,U,1.426,U,1.43,U,1.621,U,1.786,U,79.881,U,2.99,U,4.82,U
"30,31,32,33-Tetrakishomohopane-22R",,5.482,U,6.213,U,5.949,U,8.472,U,5.706,U,7.358,U,3.728,U,5.13,U,3.655,U,5.592,U,3.452,U,14.338,U,3.679,U,1.426,U,1.43,U,1.621,U,1.786,U,79.881,U,2.99,U,4.82,U
"30,31,32,33,34-Pentakishomohopane-22S",,5.482,U,6.213,U,5.949,U,8.472,U,5.706,U,7.358,U,3.728,U,5.13,U,3.655,U,5.592,U,3.452,U,14.338,U,3.679,U,1.426,U,1.43,U,1.621,U,1.786,U,79.881,U,2.99,U,4.82,U
"30,31,32,33,34-Pentakishomohopane-22R",,5.482,U,6.213,U,5.949,U,8.472,U,5.706,U,7.358,U,3.728,U,5.13,U,3.655,U,5.592,U,3.452,U,14.338,U,3.679,U,1.426,U,1.43,U,1.621,U,1.786,U,79.881,U,2.99,U,4.82,U
Priority Pollutant PAH,,65.066,,58.436,,47.987,,72.206,,66.33,,82.798,,37.991,,45.454,,36.885,,65.294,,57.926,,195.297,,49.257,,23.698,,23.578,,28.579,,34.112,,1344.585,,66.553,,71.095,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surrogate Recoveries (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naphthalene-d8,,71,,72,,77,,82,,77,,74,,84,,82,,70,,75,,68,,80,,88,,74,,76,,73,,68,,67,,80,,84,
Acenaphthene-d10,,84,,87,,90,,94,,88,,87,,97,,93,,82,,90,,80,,97,,106,,86,,89,,83,,79,,87,,97,,99,
Phenanthrene-d10,,91,,94,,98,,102,,96,,96,,106,,101,,90,,97,,89,,108,,115,,92,,95,,89,,85,,101,,112,,109,
Benzo(a)pyrene-d12,,80,,81,,88,,84,,72,,73,,84,,81,,79,,85,,76,,98,,98,,83,,79,,76,,69,,82,,96,,92,
5b(H)-Cholane,,140,N,105,,104,,112,,113,,118,,112,,114,,107,,75,,111,,109,,116,,103,,104,,97,,94,,129,N,112,,105,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
