,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Client ID,,QAH-501,,QAH-502,,QAH-503,,QAH-504,,QAH-505,,QAH-506,,QAH-201,,QAH-202,,QAH-203,,QAH-204,,QAH-205,,QAH-206,,QAH-122,,QAH-301,,QAH-302,,QAH-302-REP,,QAH-303,,QAH-306,,QAH-304,,QAH-305,,QAH-307,
"17a(H),21b(H)-hopane",,4.204,U,9.810,U,2.782,U,5.592,U,2.741,U,4.142,U,2.219,U,5.886,U,1.243,U,1.294,U,1.216,U,1.208,U,2.912,U,2.379,U,2.151,U,2.110,U,4.052,U,4.236,U,11.897,U,2.553,U,3.328,U
"17b(H),21a(H)-hopane (moretane)",,4.204,U,9.810,U,2.782,U,5.592,U,2.741,U,4.142,U,2.219,U,5.886,U,1.243,U,1.294,U,1.216,U,1.208,U,2.912,U,2.379,U,2.151,U,2.110,U,4.052,U,4.236,U,11.897,U,2.553,U,3.328,U
30-Homohopane-22S,,4.204,U,9.810,U,2.782,U,5.592,U,2.741,U,4.142,U,2.219,U,5.886,U,1.243,U,1.294,U,1.216,U,1.208,U,2.912,U,2.379,U,2.151,U,2.110,U,4.052,U,4.236,U,11.897,U,2.553,U,3.328,U
30-Homohopane-22R,,4.204,U,9.810,U,2.782,U,5.592,U,2.741,U,4.142,U,2.219,U,5.886,U,1.243,U,1.294,U,1.216,U,1.208,U,2.912,U,2.379,U,2.151,U,2.110,U,4.052,U,4.236,U,11.897,U,2.553,U,3.328,U
"30,31-Bishomohopane-22S",,4.204,U,9.810,U,2.782,U,5.592,U,2.741,U,4.142,U,2.219,U,5.886,U,1.243,U,1.294,U,1.216,U,1.208,U,2.912,U,2.379,U,2.151,U,2.110,U,4.052,U,4.236,U,11.897,U,2.553,U,3.328,U
"30,31-Bishomohopane-22R",,4.204,U,9.810,U,2.782,U,5.592,U,2.741,U,4.142,U,2.219,U,5.886,U,1.243,U,1.294,U,1.216,U,1.208,U,2.912,U,2.379,U,2.151,U,2.110,U,4.052,U,4.236,U,11.897,U,2.553,U,3.328,U
"30,31,32-Trishomohopane-22S",,4.204,U,9.810,U,2.782,U,5.592,U,2.741,U,4.142,U,2.219,U,5.886,U,1.243,U,1.294,U,1.216,U,1.208,U,2.912,U,2.379,U,2.151,U,2.110,U,4.052,U,4.236,U,11.897,U,2.553,U,3.328,U
"30,31,32-Trishomohopane-22R",,4.204,U,9.810,U,2.782,U,5.592,U,2.741,U,4.142,U,2.219,U,5.886,U,1.243,U,1.294,U,1.216,U,1.208,U,2.912,U,2.379,U,2.151,U,2.110,U,4.052,U,4.236,U,11.897,U,2.553,U,3.328,U
"30,31,32,33-Tetrakishomohopane-22S",,4.204,U,9.810,U,2.782,U,5.592,U,2.741,U,4.142,U,2.219,U,5.886,U,1.243,U,1.294,U,1.216,U,1.208,U,2.912,U,2.379,U,2.151,U,2.110,U,4.052,U,4.236,U,11.897,U,2.553,U,3.328,U
"30,31,32,33-Tetrakishomohopane-22R",,4.204,U,9.810,U,2.782,U,5.592,U,2.741,U,4.142,U,2.219,U,5.886,U,1.243,U,1.294,U,1.216,U,1.208,U,2.912,U,2.379,U,2.151,U,2.110,U,4.052,U,4.236,U,11.897,U,2.553,U,3.328,U
"30,31,32,33,34-Pentakishomohopane-22S",,4.204,U,9.810,U,2.782,U,5.592,U,2.741,U,4.142,U,2.219,U,5.886,U,1.243,U,1.294,U,1.216,U,1.208,U,2.912,U,2.379,U,2.151,U,2.110,U,4.052,U,4.236,U,11.897,U,2.553,U,3.328,U
"30,31,32,33,34-Pentakishomohopane-22R",,4.204,U,9.810,U,2.782,U,5.592,U,2.741,U,4.142,U,2.219,U,5.886,U,1.243,U,1.294,U,1.216,U,1.208,U,2.912,U,2.379,U,2.151,U,2.110,U,4.052,U,4.236,U,11.897,U,2.553,U,3.328,U
Priority Pollutant PAH,,15.281,,26.759,,6.017,,14.029,,13.918,,24.780,,19.000,,23.261,,16.932,,13.152,,15.876,,16.539,,22.161,,20.685,,10.467,,18.340,,20.592,,17.201,,51.172,,17.293,,28.537,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surrogate Recoveries (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naphthalene-d8,,79,,68,,67,,74,,62,,63,,62,,67,,65,,73,,69,,87,,66,,71,,72,,69,,56,,54,,55,,61,,67,
Acenaphthene-d10,,83,,70,,74,,79,,71,,69,,68,,72,,69,,80,,74,,96,,72,,74,,77,,74,,65,,61,,72,,65,,72,
Phenanthrene-d10,,85,,75,,80,,81,,76,,73,,70,,72,,68,,80,,75,,106,,73,,76,,77,,75,,81,,74,,81,,67,,73,
Benzo(a)pyrene-d12,,82,,67,,83,,84,,80,,76,,71,,69,,66,,76,,72,,112,,69,,66,,62,,74,,76,,68,,77,,60,,67,
5b(H)-Cholane,,94,,97,,93,,91,,92,,89,,89,,91,,87,,100,,107,,98,,92,,100,,99,,99,,86,,85,,96,,81,,83,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
