,,,,,Ind 1000m-2,Ind 1000m-2,Ind 1000m-2,Ind 1000m-2,Ind 1000m-2,Ind 1000m-2,Ind 1000m-2,Ind 1000m-2,Ind 1000m-2,Ind 1000m-2,Ind 1000m-2,Ind 1000m-2,Ind 1000m-2,Ind 1000m-2,Ind 1000m-2,Ind 1000m-2,Ind 1000m-2,Ind 1000m-2,Ind 1000m-2,Ind 1000m-2,Ind 1000m-2,Ind 1000m-2,Ind 1000m-2,Ind 1000m-2,Ind 1000m-2,Ind 1000m-2,Ind 1000m-2,Ind 1000m-2,Ind 1000m-2
Aulacofusus brevicauda,Anomalosipho verkruezeni,Nora Foster (expert),Gastropoda,Mollusca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,1.6,1.9,17.8,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boreotrophon clathratus,,Nora Foster (expert),Gastropoda,Mollusca,0.0,0.0,0.0,0.0,0.0,3.4,0.0,7.3,0.0,0.0,3.9,5.9,0.0,0.0,14.5,0.0,27.1,30.7,6.1,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0
Boreotrophon truncatus,,Nora Foster (expert),Gastropoda,Mollusca,0.0,0.0,0.0,0.0,0.0,0.0,19.8,0.0,3.5,0.0,23.3,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0
Buccinum angulosum,,Nora Foster (expert),Gastropoda,Mollusca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buccinum elatior/scalariforme,,Nora Foster (expert),Gastropoda,Mollusca,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,8.8,0.0,23.3,3.0,0.0,0.0,0.0,0.0,20.3,27.1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buccinum ciliatum,Buccinum mix st 14-20,Nora Foster (expert),Gastropoda,Mollusca,,,,,,,,,,0.0,11.6,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Buccinum glaciale,,Nora Foster (expert),Gastropoda,Mollusca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.3,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buccinum polare,"Buccinum mix st 14-20, Gastropod indet",Nora Foster (expert),Gastropoda,Mollusca,0.0,6.3,0.0,0.0,0.0,3.4,0.0,0.0,0.0,18.8,0.0,4.5,5.3,14.4,0.0,0.0,6.8,1.8,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0
Buccinum sp. ,Buccinum mix st 14-20,Nora Foster (expert),Gastropoda,Mollusca,0.0,,0.0,0.0,0.0,23.7,0.0,0.0,0.0,18.8,0.0,0.0,5.3,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buccinidae c.f. Colus sp.,Mohnia sp.,Nora Foster (expert),Gastropoda,Mollusca,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colus sabini,,Nora Foster (expert),Gastropoda,Mollusca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colus sp.,"Gastropoda indet., C. jeffreyianus?",Nora Foster (expert),Gastropoda,Mollusca,,,,,,,,,,18.8,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.6,0.0,0.0,0.0,0.0
Cryptonatica affinis,,Nora Foster (expert),Gastropoda,Mollusca,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.8,18.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Curtitoma novajasemljensis,,Nora Foster (expert),Gastropoda,Mollusca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Curtitoma violacea c.f.,Gastropoda indet.,Nora Foster (expert),Gastropoda,Mollusca,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,3.5,9.4,0.0,0.0,0.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cylichna alba,,Nora Foster (expert),Gastropoda,Mollusca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.3,0.0,0.0,0.0,72.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cylichna occulta,,Nora Foster (expert),Gastropoda,Mollusca,0.0,5.0,1.9,0.0,6.4,0.0,0.0,0.0,0.0,37.7,0.0,0.0,0.0,72.1,0.0,0.0,6.8,3.6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diaphana hiemalis,Gastropoda indet.,Nora Foster (expert),Gastropoda,Mollusca,,,,,,6.8,,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Epheria crassior,Iphionopsis sp,Nora Foster (expert),Gastropoda,Mollusca,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Granotoma albrechti,"Gastropoda indet., Oenopota elegans (14-25)",Nora Foster (expert),Gastropoda,Mollusca,,,,,,0.0,,0.0,,18.8,,0.0,5.3,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Limneria undata,,Nora Foster (expert),Gastropoda,Mollusca,0.0,0.0,1.0,0.0,1.3,3.4,39.5,0.0,5.3,18.8,0.0,0.0,10.6,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,2.2
Limneria undata soft shell,,Nora Foster (expert),Gastropoda,Mollusca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lunatia pallida,,Nora Foster (expert),Gastropoda,Mollusca,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Margarites beringensis,,Nora Foster (expert),Gastropoda,Mollusca,0.0,8.8,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Margarites groenlandicus,"Margarites costalis, M. pink (14-15)",Nora Foster (expert),Gastropoda,Mollusca,,,,,,0.0,,0.0,,0.0,11.6,0.0,,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Margarites costalis,,Nora Foster (expert),Gastropoda,Mollusca,1.4,11.3,0.0,0.0,0.0,20.4,276.8,0.0,232.6,0.0,174.5,0.0,58.3,28.8,231.9,303.1,81.4,18.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,0.0,0.0,0.0,0.0
Neoiphinoe kroeyeri,Gastropoda indet.,Nora Foster (expert),Gastropoda,Mollusca,,,,,,0.0,,0.0,,18.8,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Neptunea heros/ventricosa,Neptunea sp. (14-11),Nora Foster (expert),Gastropoda,Mollusca,0.0,1.3,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0
Neptunea communis,"Beringius beringi, Gastropoda indet.",Nora Foster (expert),Gastropoda,Mollusca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tritonia c.f.,Nudibranchia Tritonia-like,Nora Foster (expert),Gastropoda,Mollusca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oenopota pyramidalis,Oenopota elegans,Nora Foster (expert),Gastropoda,Mollusca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oenopota pingelii,,Nora Foster (expert),Gastropoda,Mollusca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oenopota nobilis,Gastropoda indet.,Nora Foster (expert),Gastropoda,Mollusca,,,,,,,,0.0,,18.8,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oenopota impressa,Gastropoda indet.,Nora Foster (expert),Gastropoda,Mollusca,,,,,,,,0.0,,18.8,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oenopota harpa,Gastropoda indet.,Nora Foster (expert),Gastropoda,Mollusca,,,,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oenopota sp.,Gastropoda indet.,Nora Foster (expert),Gastropoda,Mollusca,,,,,,,,0.0,,18.8,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Onchidiopsis sp.,,Nora Foster (expert),Gastropoda,Mollusca,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,11.6,0.0,0.0,0.0,0.0,0.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Opisthobranch white smooth,,Nora Foster (expert),Gastropoda,Mollusca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dendronotus,Opisthobranchia cf dendronotus,Nora Foster (expert),Gastropoda,Mollusca,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Philine sp.,,Nora Foster (expert),Gastropoda,Mollusca,0.0,0.0,0.0,0.0,0.0,10.2,0.0,7.3,10.6,0.0,0.0,0.0,0.0,0.0,188.5,7.0,27.1,37.9,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plicifusus kroeyeri,,Nora Foster (expert),Gastropoda,Mollusca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plicifusus sp.,,Nora Foster (expert),Gastropoda,Mollusca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Propebela spp. (arctica, nobilis)",,Nora Foster (expert),Gastropoda,Mollusca,0.0,3.8,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stenosemus albus,,Nora Foster (expert),Gastropoda,Mollusca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.8,0.0,0.0
Tachyrhynchus erosus,,Nora Foster (expert),Gastropoda,Mollusca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,1.9,552.2,31.8,0.0,0.0,0.0,20.3,36.1,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tritonia sp.,,Nora Foster (expert),Gastropoda,Mollusca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Velutina laevigata,Velutina velutina,Nora Foster (expert),Gastropoda,Mollusca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Volutopsius sp,,Nora Foster (expert),Gastropoda,Mollusca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nemertea,,,Nemertea,Nemertea,20.4,1.3,1.0,0.0,1.3,10.2,19.8,44.0,10.6,37.7,11.6,35.6,21.2,0.0,0.0,0.0,0.0,14.4,0.0,0.0,0.0,0.0,0.0,2.5,1.6,0.0,0.0,3.2,56.1
Platyhelminthes,,,Plathyhelminthes,Plathyhelminthes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Polymastia sp.,,,Porifera,Porifera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0
Porifera ball,,,Porifera,Porifera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Porifera fragile soft,,,Porifera,Porifera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Porifera hexactinellid,,,Porifera,Porifera,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Porifera root-like,,,Porifera,Porifera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Porifera soft flat,,,Porifera,Porifera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vulcanella sp.,,uncertain,Porifera,Porifera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7,0.0,0.0,0.0,0.0
Priapulus caudatus,,,Priapula,Priapula,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Golfingia margaritacea,,Monika Kedra (expert),Sipuncula,Sipuncula,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phascolion strombus,,Monika Kedra (expert),Sipuncula,Sipuncula,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,75.3,0.0,391.9,31.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eupyrgus scaber,Little grey balls Cuc,,Holothuroidea,Echinodermata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
