"haul_id","lat","lon","bot_temp","bot_salt","bot_depth","gear","year","common_name","cpue_kg_km2"
"2009g-Norcross-KF015-BT22",70.8973,-164.4937,3.74,31.61,35.35,"beam",2009,"Arctic cod",68.3101768146156
"2009g-Norcross-KF017-BT6",71.0232,-165.6334,1.75,32.16,40.6,"beam",2009,"Arctic cod",244.159199867286
"2009g-Norcross-KF019-BT16",71.0202,-164.8694,2.96,31.9,33.55,"beam",2009,"Arctic cod",198.968756404689
"2009g-Norcross-KF021-BT1",71.1442,-166.0282,1.63,32.2,40.75,"beam",2009,"Arctic cod",77.2241795950159
"2009g-Norcross-KF023-BT12",71.1483,-165.2582,2.33,32.04,41.8,"beam",2009,"Arctic cod",103.932036560008
"2009g-Norcross-KF025-BT24",71.1479,-164.484,2.68,31.94,40.6,"beam",2009,"Arctic cod",136.172321967871
"2004-Norcross-106-BT14",70.7592,-175.521,-1.77,33.52,72,"beam",2004,"saffron cod",0
"2004-Norcross-107-BT19",70.8948,-172.7197,1.99,32.41,40,"beam",2004,"saffron cod",0
"2004-Norcross-13-BT4",67.4297,-169.6395,2.47,32.93,51,"beam",2004,"saffron cod",0
"2004-Norcross-17-BT6",68.3173,-167.0743,NA,NA,38,"beam",2004,"saffron cod",138.4380176
"2004-Norcross-18-BT7",68.982,-166.8853,7.95,31.3,46,"beam",2004,"saffron cod",0
"2004-Norcross-20-BT9",69.0003,-168.8636,3.69,32.27,54,"beam",2004,"saffron cod",0
"2004-Norcross-23-BT11",68.5148,-171.4575,2.21,32.91,56,"beam",2004,"saffron cod",0
"2004-Norcross-25-BT12",67.8591,-172.5719,1.7,33.05,49,"beam",2004,"saffron cod",0
"2004-Norcross-58B-BT18",71.4358,-174.3648,1.89,32.55,60,"beam",2004,"saffron cod",0
"2004-Norcross-62B-BT17",71.3912,-174.8705,-1.78,33.53,77,"beam",2004,"saffron cod",0
"2004-Norcross-6-BT1",65.6753,-168.2963,10.5,30.62,49,"beam",2004,"saffron cod",405.1331471
"2004-Norcross-73B-BT16",71.9115,-175.4517,-1.75,33.32,71,"beam",2004,"saffron cod",0
"2004-Norcross-85B-BT15",72.3158,-175.9873,-1.42,33.67,101,"beam",2004,"saffron cod",0
"2007a-Norcross-C02-BT2",66.6405,-168.8645,3.19,32.57,41,"beam",2007,"saffron cod",0
"2007a-Norcross-C03-BT3",67.0792,-168.8154,2.44,32.43,44.3,"beam",2007,"saffron cod",0
"2007a-Norcross-C10-BT5",68.8628,-166.8186,7.08,31.92,39.5,"beam",2007,"saffron cod",2.3861167
"2007a-Norcross-C15-BT8",68.8987,-168.918,2.71,32.4,50,"beam",2007,"saffron cod",0
"2007a-Norcross-C16-BT9",70.0151,-167.9907,2.92,32.49,44.9,"beam",2007,"saffron cod",0
"2007a-Norcross-C17-BT10",70.1928,-166.2292,4.01,32.06,42.6,"beam",2007,"saffron cod",0
"2007a-Norcross-C19-BT11",70.0194,-163.7141,1.66,31.9,25.6,"beam",2007,"saffron cod",0
"2007a-Norcross-C23-BT13",70.6807,-167.3083,0.4,32.49,51.1,"beam",2007,"saffron cod",0
"2007a-Norcross-C24-BT14",71.0787,-167.0801,2.25,32.21,43.4,"beam",2007,"saffron cod",0
"2007b-Norcross-11-BT10",69.5143,-164.6308,8.26,31.77,29.7,"beam",2007,"saffron cod",7.712082
"2007b-Norcross-12-BT11",69.5108,-165.3997,7.14,31.87,35.3,"beam",2007,"saffron cod",31.936128
"2007b-Norcross-13-BT12",69.4935,-166.0077,6.82,32,39.6,"beam",2007,"saffron cod",19.0207139
"2007b-Norcross-15-BT14",69.5039,-168.025,3.39,32.52,51.2,"beam",2007,"saffron cod",219.8582
"2007b-Norcross-16-BT16",69.2233,-166.9999,6.94,32.12,44.3,"beam",2007,"saffron cod",10.507878
"2007b-Norcross-17-BT17",69.0039,-167.0296,4.32,32.36,48.8,"beam",2007,"saffron cod",0
"2007b-Norcross-1-BT1",65.6465,-168.4124,3.28,32.31,53,"beam",2007,"saffron cod",0
"2007b-Norcross-20-BT18",68.5102,-167.9766,3.14,32.55,54.6,"beam",2007,"saffron cod",0
"2007b-Norcross-22-BT20",68.0101,-167.9942,3.69,32.86,56.3,"beam",2007,"saffron cod",20.050128
"2007b-Norcross-26-BT21",67.4969,-167.0078,3.25,32.67,48.2,"beam",2007,"saffron cod",0
"2007b-Norcross-27-BT22",67.4931,-166.5138,3.48,32.3,46.9,"beam",2007,"saffron cod",8.695652
"2007b-Norcross-28-BT23",67.4945,-165.9988,4.97,32.15,42.6,"beam",2007,"saffron cod",0
"2007b-Norcross-2-BT2",69.9988,-168.405,-0.51,32.77,45,"beam",2007,"saffron cod",0
"2007b-Norcross-31-BT24",67.065,-166.0862,7.81,32.1,31.3,"beam",2007,"saffron cod",1030.06572
"2007b-Norcross-32-BT25",67.0035,-164.9598,8.93,31.47,28.3,"beam",2007,"saffron cod",716.34012
