"common_name","Omega1","Omega2","Epsilon1","Epsilon2","dens_covar","status","max_grad","rrmse","aic"
"Bering flounder",0,1,1,1,"FALSE","confirm_gradient",1.80826954299107e-07,1.037,683.139677912438
"Pacific cod",0,1,1,1,"FALSE",NA,NA,NA,NA
"saffron cod",0,1,1,1,"FALSE",NA,NA,NA,NA
"snow crab",0,1,1,1,"FALSE",NA,NA,NA,NA
"walleye pollock",0,1,1,1,"FALSE","confirm_gradient",1.82158963468737e-08,2.038,282.081357114937
"yellowfin sole",0,1,1,1,"FALSE",NA,NA,NA,NA
"Alaska plaice",1,1,1,1,"FALSE",NA,NA,NA,NA
"Arctic cod",1,1,1,1,"FALSE","confirm_gradient",2.88576647022865e-08,1.103,1653.18698807787
"Bering flounder",1,1,1,1,"FALSE","confirm_gradient",5.04367829723407e-08,1.065,669.911281244512
"Pacific cod",1,1,1,1,"FALSE",NA,NA,NA,NA
"saffron cod",1,1,1,1,"FALSE","confirm_gradient",3.10029383276955e-08,2.129,571.407545063455
"snow crab",1,1,1,1,"FALSE",NA,NA,NA,NA
"walleye pollock",1,1,1,1,"FALSE","confirm_gradient",2.47966736033334e-09,1.99,283.98129846123
"yellowfin sole",1,1,1,1,"FALSE",NA,NA,NA,NA
"Alaska plaice",0,0,0,0,"TRUE","confirm_gradient",2.70626200205015e-06,3.118,217.729144773792
"Arctic cod",0,0,0,0,"TRUE","confirm_gradient",7.59880014911118e-06,1.764,1699.50913994066
"Bering flounder",0,0,0,0,"TRUE","confirm_gradient",1.00592662466426e-06,2.649,780.193225574401
"Pacific cod",0,0,0,0,"TRUE","confirm_gradient",9.3804668566122e-06,16.275,183.815004797001
"saffron cod",0,0,0,0,"TRUE","confirm_gradient",2.95158872454238e-06,3205.251,606.164668406407
"snow crab",0,0,0,0,"TRUE","confirm_gradient",9.79214211760393e-06,3.174,1830.06755480832
"walleye pollock",0,0,0,0,"TRUE","confirm_gradient",8.71455348772088e-07,5.458,294.728172357315
"yellowfin sole",0,0,0,0,"TRUE","confirm_gradient",2.4160666534101e-07,2.207,265.479292951438
"Alaska plaice",1,0,0,0,"TRUE","confirm_gradient",1.98526618040488e-06,3.118,221.729144773793
"Arctic cod",1,0,0,0,"TRUE","confirm_gradient",2.84092038782546e-09,1.483,1666.93533546315
"Bering flounder",1,0,0,0,"TRUE","confirm_gradient",3.57850899206369e-05,0.964,673.056731413904
"Pacific cod",1,0,0,0,"TRUE","confirm_gradient",13.4886829382702,2.856,181.065368634876
"saffron cod",1,0,0,0,"TRUE","confirm_gradient",5.81597595772365e-05,1.88,569.988717284068
"snow crab",1,0,0,0,"TRUE","confirm_gradient",1.61674734044936e-07,1.707,1762.24796270417
"walleye pollock",1,0,0,0,"TRUE","confirm_gradient",1.72642828033531e-07,4.223,293.495801286947
"yellowfin sole",1,0,0,0,"TRUE",NA,NA,NA,NA
"Alaska plaice",0,1,0,0,"TRUE","confirm_gradient",7.22524332669392e-07,3.118,221.72914477376
"Arctic cod",0,1,0,0,"TRUE","confirm_gradient",3.4738194543138e-09,1.432,1667.32322538628
"Bering flounder",0,1,0,0,"TRUE","confirm_gradient",8.58458639640958e-06,1.636,693.867050119854
"Pacific cod",0,1,0,0,"TRUE",NA,NA,NA,NA
"saffron cod",0,1,0,0,"TRUE","confirm_gradient",1.60978156600322e-05,4.069,569.332881839722
"snow crab",0,1,0,0,"TRUE","confirm_gradient",1.03451682207378e-05,1.458,1759.55487538153
"walleye pollock",0,1,0,0,"TRUE","confirm_gradient",0.0125882043168133,4.41,294.235589298026
"yellowfin sole",0,1,0,0,"TRUE",NA,NA,NA,NA
"Alaska plaice",1,1,0,0,"TRUE",NA,NA,NA,NA
"Arctic cod",1,1,0,0,"TRUE",NA,NA,NA,NA
"Bering flounder",1,1,0,0,"TRUE","confirm_gradient",2.7124460189043e-07,1.326,661.320303248477
"Pacific cod",1,1,0,0,"TRUE","confirm_gradient",13.4870283625183,2.856,185.065314270662
"saffron cod",1,1,0,0,"TRUE","confirm_gradient",2.71887898861678e-08,2.482,561.459681067602
"snow crab",1,1,0,0,"TRUE",NA,NA,NA,NA
"walleye pollock",1,1,0,0,"TRUE","confirm_gradient",8.04311905966415e-09,3.827,293.150735323707
"yellowfin sole",1,1,0,0,"TRUE",NA,NA,NA,NA
"Alaska plaice",0,0,1,0,"TRUE","confirm_gradient",3.13027071511608e-07,3.118,221.729144773798
"Arctic cod",0,0,1,0,"TRUE","confirm_gradient",1.79647332743116e-05,1.141,1655.76806555709
"Bering flounder",0,0,1,0,"TRUE","confirm_gradient",3.02499065583106e-05,1.098,689.16024896764
"Pacific cod",0,0,1,0,"TRUE","confirm_gradient",52.7081836300256,2.53,176.993417825906
"saffron cod",0,0,1,0,"TRUE","confirm_gradient",3.89131210454252e-06,1.551,547.757105115527
"snow crab",0,0,1,0,"TRUE","confirm_gradient",5.59648697162629e-06,1.086,1745.9275184711
"walleye pollock",0,0,1,0,"TRUE","confirm_gradient",4.7666773639321e-07,2.564,271.548516576349
"yellowfin sole",0,0,1,0,"TRUE",NA,NA,NA,NA
"Alaska plaice",1,0,1,0,"TRUE",NA,NA,NA,NA
"Arctic cod",1,0,1,0,"TRUE","confirm_gradient",2.26441500217334e-06,1.141,1657.7680655093
"Bering flounder",1,0,1,0,"TRUE","confirm_gradient",1.51865346822433e-05,0.949,674.436189510614
"Pacific cod",1,0,1,0,"TRUE",NA,NA,NA,NA
"saffron cod",1,0,1,0,"TRUE","confirm_gradient",2.17402899345132e-05,1.551,549.757105120824
"snow crab",1,0,1,0,"TRUE","confirm_gradient",3.39415782946162e-06,1.103,1746.69413962483
"walleye pollock",1,0,1,0,"TRUE","confirm_gradient",8.81289588505751e-06,2.564,273.54851657721
"yellowfin sole",1,0,1,0,"TRUE","confirm_gradient",2.74975768679106e-07,2.207,271.479292951437
"Alaska plaice",0,1,1,0,"TRUE","confirm_gradient",3.87341087571034e-06,3.118,225.729144773797
"Arctic cod",0,1,1,0,"TRUE",NA,NA,NA,NA
"Bering flounder",0,1,1,0,"TRUE","confirm_gradient",4.41015446384085e-09,1.142,671.087831533157
"Pacific cod",0,1,1,0,"TRUE",NA,NA,NA,NA
"saffron cod",0,1,1,0,"TRUE","confirm_gradient",8.95009559798154e-08,2.039,549.091236988741
"snow crab",0,1,1,0,"TRUE",NA,NA,NA,NA
"walleye pollock",0,1,1,0,"TRUE","confirm_gradient",5.51673758764082e-06,2.681,274.549411444506
"yellowfin sole",0,1,1,0,"TRUE",NA,NA,NA,NA
"Alaska plaice",1,1,1,0,"TRUE",NA,NA,NA,NA
"Arctic cod",1,1,1,0,"TRUE",NA,NA,NA,NA
"Bering flounder",1,1,1,0,"TRUE","confirm_gradient",4.38996838880712e-10,1.326,663.320303242295
"Pacific cod",1,1,1,0,"TRUE",NA,NA,NA,NA
"saffron cod",1,1,1,0,"TRUE","confirm_gradient",2.34973356327828e-08,2.039,551.091236979839
"snow crab",1,1,1,0,"TRUE",NA,NA,NA,NA
"walleye pollock",1,1,1,0,"TRUE","confirm_gradient",3.58183370963161e-07,2.681,276.549411453541
"yellowfin sole",1,1,1,0,"TRUE",NA,NA,NA,NA
"Alaska plaice",0,0,0,1,"TRUE",NA,NA,NA,NA
"Arctic cod",0,0,0,1,"TRUE","confirm_gradient",8.96438245945319e-06,1.124,1645.00067462594
"Bering flounder",0,0,0,1,"TRUE","confirm_gradient",2.21597746588031e-05,1.475,712.008727373903
"Pacific cod",0,0,0,1,"TRUE",NA,NA,NA,NA
"saffron cod",0,0,0,1,"TRUE","confirm_gradient",2.46173814559825e-05,3.153,563.860892790847
"snow crab",0,0,0,1,"TRUE","confirm_gradient",4.56230657164269e-06,1.162,1737.15095288843
"walleye pollock",0,0,0,1,"TRUE","confirm_gradient",7.9042679388408e-06,4.24,290.432689133046
"yellowfin sole",0,0,0,1,"TRUE",NA,NA,NA,NA
"Alaska plaice",1,0,0,1,"TRUE",NA,NA,NA,NA
"Arctic cod",1,0,0,1,"TRUE",NA,NA,NA,NA
"Bering flounder",1,0,0,1,"TRUE","confirm_gradient",4.16489456256386e-07,1.066,672.430505352522
"Pacific cod",1,0,0,1,"TRUE","confirm_gradient",13.4886856148856,2.856,185.065368642752
"saffron cod",1,0,0,1,"TRUE","confirm_gradient",4.10146583362803e-08,2.092,559.21352405514
"snow crab",1,0,0,1,"TRUE",NA,NA,NA,NA
"walleye pollock",1,0,0,1,"TRUE","confirm_gradient",9.11046571516749e-09,3.536,289.3932633573
"yellowfin sole",1,0,0,1,"TRUE",NA,NA,NA,NA
"Alaska plaice",0,1,0,1,"TRUE",NA,NA,NA,NA
